Web Series,Positive,Negative,Neutral,Analysis,Status
Haseen Dillruba,7.0,0.0,13.0,Go and Watch,Positive
Holiday on Mars,30.0,7.0,27.0,Do not Watch,Negative
Mortel,10.0,17.0,73.0,You Decide,Neutral
RattleSnake - The Ahanna Story,3.0,0.0,0.0,Go and Watch,Positive
Snowpiercer,37.0,20.0,43.0,You Decide,Neutral
The 8th Night,47.0,43.0,10.0,Go and Watch,Positive
Winchester,37.0,13.0,50.0,You Decide,Neutral
6 Bullets,17.0,33.0,50.0,You Decide,Neutral
Air Force One,23.0,30.0,47.0,You Decide,Neutral
Audible,37.0,13.0,50.0,You Decide,Neutral
Austin Powers in Goldmember,33.0,30.0,37.0,You Decide,Neutral
Austin Powers: International Man of Mystery,17.0,13.0,57.0,You Decide,Neutral
Austin Powers: The Spy Who Shagged Me,23.0,20.0,40.0,You Decide,Neutral
Boogie Nights,37.0,20.0,43.0,You Decide,Neutral
Bureau of Magical Things,7.0,0.0,73.0,You Decide,Neutral
Charlie's Angels,40.0,13.0,47.0,You Decide,Neutral
Congo,20.0,23.0,57.0,You Decide,Neutral
Dennis the Menace,17.0,67.0,17.0,Do not Watch,Negative
Dreamy Eyes,60.0,10.0,30.0,Go and Watch,Positive
Dynasty Warriors,47.0,23.0,30.0,Go and Watch,Positive
Generation 56k,3.0,3.0,7.0,You Decide,Neutral
Hampstead,53.0,10.0,37.0,Go and Watch,Positive
Kung Fu Panda,7.0,87.0,7.0,Do not Watch,Negative
Kung Fu Panda 2,13.0,83.0,3.0,Do not Watch,Negative
Life as We Know It,33.0,30.0,37.0,You Decide,Neutral
Mary Magdalene,33.0,13.0,53.0,You Decide,Neutral
Masameer County,0.0,0.0,0.0,Go and Watch,Positive
Memoirs of a Geisha,30.0,0.0,70.0,You Decide,Neutral
Midnight Run,37.0,27.0,37.0,Go and Watch,Positive
Mobile Suit Gundam Hathaway,23.0,7.0,70.0,You Decide,Neutral
Mortal Kombat,23.0,33.0,43.0,You Decide,Neutral
Mother's Day,30.0,17.0,53.0,You Decide,Neutral
No Strings Attached,47.0,50.0,3.0,Do not Watch,Negative
Not Another Teen Movie,27.0,13.0,60.0,You Decide,Neutral
Ophelia,27.0,20.0,53.0,You Decide,Neutral
Pet Sematary 2,17.0,10.0,33.0,You Decide,Neutral
Quarantine Tales,7.0,13.0,27.0,Go and Watch,Positive
Rainbow Rangers,20.0,20.0,47.0,You Decide,Neutral
Red Joan,40.0,20.0,40.0,Go and Watch,Positive
Sailor Moon Crystal,43.0,10.0,47.0,You Decide,Neutral
Seven Pounds,33.0,43.0,23.0,Do not Watch,Negative
She's Out of My League,63.0,17.0,20.0,Go and Watch,Positive
Snow Day,57.0,10.0,33.0,Go and Watch,Positive
Star Trek,43.0,17.0,40.0,Go and Watch,Positive
Stuart Little,20.0,27.0,53.0,You Decide,Neutral
Sword of Trust,40.0,50.0,10.0,Do not Watch,Negative
Talladega Nights: The Ballad of Ricky Bobby,17.0,7.0,40.0,Do not Watch,Negative
The American,30.0,43.0,27.0,Do not Watch,Negative
The Best of Enemies,70.0,30.0,0.0,Go and Watch,Positive
